street,city,zip_code,county,country,latitude,longitude,time_zone
1467 Brisa Hill,North Braulio,29144-5828,Lincolnshire,Faroe Islands,59.757,110.447,Asia/Krasnoyarsk
329 Lehner Drive,Marionton,37498,Lancashire,Latvia,65.339,35.496,Asia/Krasnoyarsk
1134 Stroman Turnpike,Reichertland,47919,Greater London,Iran,38.332,-177.373,Asia/Krasnoyarsk
519 Abbott Square,North Nona,28792-5246,Wiltshire,Saint Barthelemy,-11.88,-17.126,Asia/Krasnoyarsk
301 Carmelo Plaza,Venamouth,97059-3840,Isle of Wight,Wallis and Futuna,6.907,96.221,Asia/Krasnoyarsk
716 Jade Shore,Langborough,56913,Hampshire,Macao,55.694,5.577,Asia/Krasnoyarsk
328 Collins Lane,Lake Ludie,44365-8450,Hampshire,France,36.47,104.756,Asia/Krasnoyarsk
699 Tremblay Springs,Lake Brianne,98546,Cornwall,Peru,-1.583,-27.107,Asia/Krasnoyarsk
1462 Shakira Crossroad,Reichertland,36400,Worcestershire,Czech Republic,-29.331,109.779,Asia/Krasnoyarsk
718 Price Spring,Bellingham,47807,City of London,Tajikistan,85.463,-53.593,Asia/Krasnoyarsk
1259 Cronin Shoal,New Wallaceberg,55022,Surrey,Brazil,66.944,125.544,Asia/Kuala_Lumpur
733 Stokes Wells,Lawrence,82557-8114,City of London,Argentina,-48.17,69.481,Asia/Kuala_Lumpur
1108 Eugenia Heights,Borerville,22274-9108,Oxfordshire,Paraguay,83.38,133.069,Asia/Kuala_Lumpur
1230 Max Wall,Lawrence,95915,Warwickshire,United States of America,12.913,13.99,Asia/Kuala_Lumpur
1288 Carmelo Plaza,New Wallaceberg,53800-1590,Bristol,Iran,20.817,-17.655,Asia/Kuala_Lumpur
78 Schimmel Fields,Janefurt,89577-7869,North Yorkshire,Cocos (Keeling) Islands,11.414,71.265,Asia/Kuala_Lumpur
496 Jazmyn Isle,New Garlandfort,15481-3123,Bristol,Syrian Arab Republic,-29.57,20.123,Asia/Kuala_Lumpur
903 Jazmyn Isle,Rogers,70090,Derbyshire,Wallis and Futuna,59.799,-113.591,Asia/Kuala_Lumpur
605 King Drives,Williemouth,79995-9803,Nottinghamshire,Slovakia (Slovak Republic),-69.138,-143.555,Asia/Kuala_Lumpur
1372 Bechtelar Fields,Grand Rapids,51438-8664,Berkshire,Saint Martin,-42.563,121.652,Asia/Kuala_Lumpur
885 Doyle Expressway,Rogers,71438,Worcestershire,Bolivia,86.692,176.171,Asia/Kuala_Lumpur
715 Ruecker Fields,West Dorris,34748,South Yorkshire,Costa Rica,33.88,118.476,Asia/Kuala_Lumpur
720 Laurianne Glens,Borerville,20615,Worcestershire,France,-7.595,110.916,Asia/Kuala_Lumpur
221 Rath Walk,New Philip,83996-2408,Nottinghamshire,Mozambique,51.572,32.491,Asia/Kuala_Lumpur
406 Beer Plaza,New Solonmouth,66566,Suffolk,Trinidad and Tobago,4.285,-158.87,Asia/Kuala_Lumpur
61 Natalia Points,Tabithaville,22187,Buckinghamshire,Somalia,53.488,-28.024,Asia/Kuala_Lumpur
1121 Jazmyn Isle,North Braulio,73520,Staffordshire,Estonia,49.668,114.329,Asia/Kuala_Lumpur
855 Jade Shore,Olympia,96822,Norfolk,Switzerland,13.035,39.101,Asia/Kuala_Lumpur
816 Fannie Loaf,North Frankie,20999-2312,Kent,Antigua and Barbuda,34.523,32.56,Asia/Kuala_Lumpur
713 Daugherty Center,Cruzshire,93832,Worcestershire,France,8.518,152.509,Asia/Kuala_Lumpur
895 Collins Lane,Kissimmee,59733,Berkshire,Qatar,21.827,3.289,Asia/Kuala_Lumpur
1468 Reynold Crossing,West Estaton,93852,South Yorkshire,Lao Peoples Democratic Republic,38.778,-25.952,Asia/Kuala_Lumpur
1234 Doyle Expressway,East Khalilton,24147,City of London,Iran,-33.99,-90.573,Asia/Kuala_Lumpur
4 Zboncak Center,Frisco,37199-2649,Durham,Uruguay,70.354,-0.186,Asia/Kuala_Lumpur
1488 Quitzon Green,South Ahmedfort,77556,Leicestershire,Indonesia,-72.328,21.663,Asia/Kuala_Lumpur
357 Smitham Drive,Fort Lauderdale,37803-6624,Shropshire,Mayotte,34.309,-131.428,Asia/Kuala_Lumpur
555 Dameon Mountain,South Ahmedfort,98774-3447,Bristol,Syrian Arab Republic,-37.464,-58.516,Asia/Kuala_Lumpur
1386 Elian Road,Funkville,20203,Rutland,United States of America,59.633,12.463,Asia/Kuala_Lumpur
435 Esteban Inlet,Denesikburgh,36630,Leicestershire,Azerbaijan,-87.203,20.739,Asia/Kuala_Lumpur
473 Stokes Wells,Connfurt,33528,Dorset,Switzerland,47.439,-26.567,Asia/Kuala_Lumpur
994 Smitham Drive,Lake Zackton,24826,Derbyshire,Belize,-86.942,-42.642,Asia/Kuala_Lumpur
973 Hauck Stream,New Montemouth,27295-2686,Nottinghamshire,Nauru,-57.002,-102.698,Asia/Kuala_Lumpur
874 Benny River,South Laila,74346-9463,Cornwall,Russian Federation,39.874,-24.897,Asia/Kuala_Lumpur
1317 Rosendo Spring,Port Amie,58372-4862,North Yorkshire,Panama,36.588,-1.08,Asia/Kuala_Lumpur
424 Carmelo Plaza,West Janetborough,54913-3290,Somerset,Angola,24.01,-51.005,Asia/Kuala_Lumpur
44 Carmelo Plaza,White Plains,56537-3120,Norfolk,Gabon,46.879,5.014,Asia/Kuala_Lumpur
386 Georgiana Throughway,South Stacey,30025-9110,South Yorkshire,Russian Federation,17.709,-99.432,Asia/Kuala_Lumpur
1047 Missouri Extension,Tryciastad,90122-8577,Buckinghamshire,Tunisia,65.854,35.994,Asia/Kuala_Lumpur
1185 Glover Lights,New Wallaceberg,22668-5738,East Riding of Yorkshire,Afghanistan,26.928,44.503,Asia/Kuala_Lumpur
326 Aracely Row,Connfurt,85827-6919,Derbyshire,Costa Rica,-75.053,-62.152,Asia/Kuala_Lumpur
785 Conner Vista,North Nona,79857,Staffordshire,Canada,-47.966,20.376,Asia/Kuala_Lumpur
1088 Gutkowski Ferry,North Sigmund,98048,Wiltshire,Tajikistan,25.023,117.844,Asia/Kuala_Lumpur
882 King Springs,South Darienbury,89380-4877,Rutland,Bahrain,-46.621,-61.57,Asia/Kuala_Lumpur
1237 Adell Mews,Rogers,26352,Bristol,Benin,-39.121,-111.261,Asia/Kuala_Lumpur
1335 Fisher Light,Port Salvador,82918,West Yorkshire,Ethiopia,-69.26,114.827,Asia/Kuala_Lumpur
296 Price Spring,New Kyle,35067,Dorset,Moldova,82.778,-122.869,Asia/Kuala_Lumpur
939 Wilma Greens,Williemouth,92666,East Sussex,Croatia,27.454,-119.94,Asia/Kuala_Lumpur
1142 Dariana Junction,East Vicentaborough,59928,West Yorkshire,Nauru,89.757,-175.786,Asia/Kuala_Lumpur
1161 Sammy Creek,Port Adalberto,73674,City of London,Dominican Republic,-32.829,177.502,Asia/Kuala_Lumpur
1009 Elian Road,Murray,39465-5890,Warwickshire,Congo,-75.198,78.201,Asia/Kuala_Lumpur
18 Stroman Turnpike,Lake Cesar,39438-5979,Greater London,Montserrat,58.672,-98.267,Asia/Kuala_Lumpur
90 Emerald Key,Williemouth,77997-9657,Nottinghamshire,Congo,24.286,-110.582,Asia/Kuala_Lumpur
1234 Lehner Drive,Port Ricky,96864,Isle of Wight,Saint Kitts and Nevis,-55.713,36.084,Asia/Kuala_Lumpur
1077 Benny River,Reichertland,80652,North Yorkshire,Christmas Island,0.161,-90.382,Asia/Kuala_Lumpur
174 Viviane Junctions,Frisco,58105-1978,Buckinghamshire,United States of America,76.101,162.913,Asia/Kuala_Lumpur
935 Max Wall,West Everardo,81227,Greater London,French Southern Territories,31.772,77.997,Asia/Kuala_Lumpur
1078 Chyna Plaza,Lake Zackton,39569-6438,Nottinghamshire,"Virgin Islands, U.S.",0.077,107.567,Asia/Kuala_Lumpur
274 Fisher Light,Wehnerfort,77408,Derbyshire,Isle of Man,0.395,128.364,Asia/Kuala_Lumpur
101 King Drives,Reichertland,57519-2679,City of London,Congo,86.27,-172.707,Asia/Kuala_Lumpur
653 Harmon Lodge,North Kaleighshire,45899,West Midlands,Central African Republic,87.46,-172.332,Asia/Kuala_Lumpur
1268 Benny River,New Ansley,50346-3495,Bristol,Monaco,28.011,-36.222,Asia/Kuala_Lumpur
933 Esteban Inlet,Jaskolskifort,39979,East Riding of Yorkshire,Qatar,19.915,160.261,Asia/Kuala_Lumpur
806 Harmon Lodge,Maxwellport,87470-5320,Buckinghamshire,France,-41.734,82.227,Asia/Kuala_Lumpur
148 Sammy Creek,Kuvalismouth,23020-6112,West Midlands,Croatia,-48.69,-127.745,Asia/Kuala_Lumpur
1169 Adell Mews,Port Ricky,35207,Norfolk,Hungary,-7.01,102.932,Asia/Kuala_Lumpur
1292 Daugherty Center,Murray,20887-4904,Merseyside,Russian Federation,77.836,31.934,Asia/Riyadh
490 Harber Village,Port Asa,21485,Rutland,Mongolia,27.316,78.185,Asia/Riyadh
1009 Fay Corners,Lake Anthony,63607,Staffordshire,Anguilla,-53.609,56.71,Asia/Riyadh
251 Rosendo Spring,Maxwellport,51320-9245,Cambridgeshire,Nigeria,40.199,49.306,Asia/Riyadh
779 Collins Lane,New Wallaceberg,26091-1947,Somerset,New Caledonia,86.973,145.876,Asia/Riyadh
513 Viviane Junctions,Lake Ludie,93736-4379,Berkshire,Tunisia,10.924,-22.11,Asia/Riyadh
469 Carmelo Plaza,Buffalo,29626,Rutland,Sri Lanka,-89.43,137.705,Asia/Riyadh
396 Beer Plaza,Katrinaside,59548-5810,Durham,Greece,-17.776,128.353,Asia/Riyadh
743 Jazmyn Isle,Venamouth,38168,Derbyshire,Panama,72.845,-169.897,Asia/Riyadh
741 Daugherty Center,North Nona,96509,Worcestershire,Dominican Republic,-54.558,7.352,Asia/Riyadh
698 Viviane Junctions,Jaquelinview,88245,Cheshire,Colombia,-26.376,9.035,Asia/Riyadh
1389 Schimmel Fields,North Frankie,89258,Cumbria,Costa Rica,67.616,161.123,Asia/Riyadh
1143 Cronin Shoal,Jaskolskifort,96198-1696,Merseyside,Uruguay,0.531,34.74,Asia/Riyadh
968 Hilma Mills,New Solonmouth,63795,Worcestershire,Angola,-66.77,-71.837,Asia/Riyadh
1082 Dariana Junction,Johnnieburgh,16964-4068,Hampshire,Switzerland,50.129,161.756,Asia/Riyadh
564 Fannie Loaf,Willbury,24078,Cambridgeshire,Azerbaijan,-50.876,-78.821,Asia/Riyadh
509 Gutkowski Ferry,Katrinaside,38523-5784,Cambridgeshire,Belarus,-83.561,10.714,Asia/Riyadh
348 Myriam Spur,North Kaleighshire,86598,Herefordshire,Slovakia (Slovak Republic),57.133,163.724,Asia/Riyadh
515 Torphy Fords,Padbergmouth,25850,West Midlands,Montenegro,-73.113,-158.475,Asia/Riyadh
1419 Parker Ways,Aliso Viejo,42461,Bristol,Estonia,50.586,-62.172,Asia/Riyadh
4 Sammy Creek,Lake Brianne,30067,West Yorkshire,Christmas Island,18.764,88.05,Asia/Riyadh
1451 Doyle Expressway,Henderson,85558-4511,Devon,Faroe Islands,1.762,-111.903,Asia/Riyadh
1184 Fannie Loaf,Lake Adell,68873-1533,Cheshire,Russian Federation,-52.109,-144.609,Asia/Riyadh
1335 Adell Mews,West Everardo,42662-4317,Somerset,French Southern Territories,-44.354,35.499,Asia/Riyadh
954 Carmelo Plaza,Rettaland,63807,Northumberland,Liechtenstein,-11.599,-74.258,Asia/Riyadh
378 Stroman Turnpike,Port Ricky,55724-5517,Essex,Afghanistan,-60.532,135.885,Asia/Riyadh
932 Hauck Stream,North Celia,62223,Isle of Wight,Russian Federation,-60.403,-5.244,Asia/Riyadh
970 Elian Road,Rettaland,71792-7214,Derbyshire,Dominican Republic,14.787,-141.982,Asia/Riyadh
231 Dianna Inlet,East Providence,79447-7115,Suffolk,Vanuatu,33.386,-35.122,Asia/Riyadh
164 Chyna Plaza,Durwardton,34972,Surrey,Mozambique,51.977,-106.345,Asia/Riyadh
1405 Howell Vista,Fort Lauderdale,69532,Northamptonshire,Sierra Leone,-15.198,-163.376,Asia/Riyadh
1312 Dave Stravenue,Port Adalberto,25543-2316,Greater Manchester,Sierra Leone,74.021,-22.569,Asia/Riyadh
423 Torphy Fords,West Dorris,18451,Lincolnshire,Nigeria,-34.729,-102.955,Asia/Riyadh
1343 Dariana Junction,West Dorris,32117-4998,Greater London,Christmas Island,-16.552,-139.003,Asia/Riyadh
325 Dariana Junction,Jaskolskifort,62816,Norfolk,Russian Federation,73.098,-27.108,Asia/Riyadh
329 Stiedemann Field,Bellingham,40157-8266,West Sussex,Canada,-41.922,59.963,Asia/Riyadh
1158 Smitham Drive,North Sigmund,57439-6500,West Midlands,Tajikistan,-28.845,137.084,Asia/Riyadh
382 Caesar Place,North Winnifred,66878-7920,Derbyshire,Faroe Islands,-32.23,110.817,Asia/Riyadh
1311 Carmelo Plaza,South Verdieton,17094,Norfolk,Burkina Faso,-35.44,-124.168,Asia/Riyadh
52 Missouri Extension,Rettaland,81113-7576,Isle of Wight,Estonia,-33.993,141.934,Asia/Riyadh
604 Konopelski Inlet,Wehnerfort,14049,Somerset,Angola,23.502,115.91,Asia/Riyadh
877 Arturo Manors,Bellingham,50901,Berkshire,Tanzania,79.601,-138.5,Asia/Riyadh
1038 Price Spring,Rettaland,54099-6812,Tyne and Wear,Tanzania,48.71,-112.599,Asia/Riyadh
1399 Zboncak Harbor,Lake Brianne,96684-5133,East Sussex,Syrian Arab Republic,-39.865,82.33,Asia/Riyadh
1190 Graham Walks,North Celia,96104-8171,Suffolk,Peru,89.571,151.549,Asia/Riyadh
1146 Laurianne Glens,Henderson,10514,West Yorkshire,Mauritius,-1.854,-161.106,Asia/Riyadh
874 Buckridge Drives,South Darienbury,17785,Cambridgeshire,Mongolia,65.065,119.893,Asia/Riyadh
657 Ruecker Fields,Lawrence,39621-3108,East Riding of Yorkshire,"Virgin Islands, U.S.",-36.396,141.873,Asia/Riyadh
131 Sammy Creek,Grand Rapids,25871-2643,Devon,Guinea,-83.67,94.498,Asia/Riyadh
365 Schumm Land,Tallahassee,75259-1528,Hampshire,Panama,-31.818,88.602,Asia/Riyadh
1474 Dorian Gateway,Cuyahoga Falls,55023-9656,Somerset,Liechtenstein,-10.489,-52.933,Asia/Riyadh
687 Esteban Inlet,Glen Burnie,91719,Greater Manchester,Switzerland,16.253,-107.051,Asia/Riyadh
885 King Springs,Johnnieburgh,95925-7661,Staffordshire,Tajikistan,-65.015,68.083,Asia/Riyadh
401 Shakira Crossroad,South Stacey,42410-6900,Kent,Nigeria,35.884,48.482,Asia/Riyadh
974 Calista Via,Tallahassee,39169-2952,Isle of Wight,Tanzania,18.765,107.048,Asia/Riyadh
1349 Zulauf Branch,East Vicentaborough,82304,Somerset,Isle of Man,-9.848,-129.388,Asia/Riyadh
216 Stroman Turnpike,Katrinaside,57044,Warwickshire,Wallis and Futuna,-46.514,-102.746,Asia/Riyadh
643 King Springs,West Dorris,17461-7087,Bedfordshire,Dominican Republic,-49.86,-88.022,Asia/Riyadh
1245 Curt Locks,Durwardton,51441,Leicestershire,Tanzania,73.847,-108.304,Asia/Riyadh
256 Wolf Glen,Jaskolskifort,47318-4602,West Sussex,Uruguay,52.675,-49.645,Asia/Riyadh
1316 Hilma Mills,West Brendonville,36091-8008,Leicestershire,Brazil,15.046,-158.494,Asia/Riyadh
541 Price Spring,Marionton,83988-3286,West Yorkshire,Albania,-18.525,-123.256,Asia/Riyadh
1071 King Springs,Maxwellport,88868,Herefordshire,Switzerland,-51.394,-117.934,Asia/Riyadh
799 Antonietta Highway,Kettering,82871-8040,Nottinghamshire,Benin,-18.626,-175.569,Asia/Riyadh
1441 Wilma Greens,East Vicentaborough,70224-3673,Suffolk,Dominican Republic,45.615,17.48,Asia/Riyadh
845 Bechtelar Fields,North Kaleighshire,75956,West Sussex,Burkina Faso,-30.894,-110.819,Asia/Riyadh
921 Leffler Fields,Kissimmee,68051,East Riding of Yorkshire,Chile,-43.234,36.543,Asia/Riyadh
564 Benny River,Opalbury,43356-2365,Dorset,Burundi,-11.461,-133.532,Asia/Riyadh
106 Goyette Circle,Tabithaville,80008-7340,Northamptonshire,Syrian Arab Republic,-31.674,14.75,Asia/Riyadh
909 Moises Causeway,Port Ricky,91625,Tyne and Wear,Benin,41.827,134.245,Asia/Riyadh
1247 Antonietta Highway,West Everardo,65134,Herefordshire,Angola,0.875,-25.589,Asia/Riyadh
1167 Chyna Plaza,Johnnieburgh,79427-1687,Lancashire,Paraguay,29.518,-142.702,Asia/Riyadh
335 Lehner Drive,Durwardton,59945,Cornwall,Puerto Rico,74.916,-76.917,Asia/Riyadh
742 Caesar Place,West Dellside,75866,Northamptonshire,Uruguay,-76.877,-9.942,Asia/Riyadh
1294 Rath Walk,South Ahmedfort,39421-6240,Berkshire,Dominican Republic,-46.115,-133.008,Asia/Riyadh
1131 Corwin Mission,South Darienbury,50530,Bristol,Christmas Island,85.717,-96.49,Asia/Riyadh
1188 Emerald Key,Kissimmee,73767,Lancashire,Mauritius,-1.188,38.316,Asia/Riyadh
72 Daugherty Center,East Providence,87389,Somerset,Sierra Leone,47.777,-140.833,Asia/Riyadh
1034 Hilma Mills,Lake Brianne,18697-8628,Buckinghamshire,Benin,-52.784,132.656,Asia/Riyadh
461 Conner Vista,Elisabethland,92779-1007,Cornwall,Isle of Man,-78.344,104.243,Asia/Riyadh
998 Dante Summit,Tallahassee,80558-3080,Bedfordshire,Somalia,-89.651,-16.99,Asia/Riyadh
515 Tremblay Springs,East Vicentaborough,66550-7798,Cheshire,Uruguay,49.817,-148.849,Asia/Riyadh
839 Abbott Square,West Lucy,73442,Gloucestershire,Cyprus,71.572,-121.369,Asia/Riyadh
91 Chyna Plaza,Olympia,79444,Cumbria,Namibia,-30.666,161.449,Asia/Riyadh
1434 Dorian Gateway,Willbury,85275-1471,Leicestershire,Brazil,17.375,-158.652,Asia/Riyadh
540 Dianna Inlet,East Providence,40760-7218,Northumberland,Central African Republic,-76.359,129.988,Asia/Riyadh
280 Kuphal Mountain,Rettaland,38572-2329,Nottinghamshire,Tajikistan,-29.48,-43.826,Asia/Riyadh
1031 Zboncak Harbor,South Verdieton,21689,Dorset,Tajikistan,-70.381,-120.794,Asia/Riyadh
985 Hilma Mills,North Celia,22187-4629,Oxfordshire,Namibia,-24.54,159.155,Asia/Riyadh
1207 Myriam Spur,West Simone,21778,Rutland,Guinea,-53.188,-31.402,Asia/Riyadh
117 Wolf Glen,West Dellside,10010,Berkshire,Bolivia,13.184,-123.754,Asia/Seoul
574 Elian Road,North Nona,95230,Buckinghamshire,Argentina,-20.721,26.711,Asia/Seoul
919 Howell Plaza,New Ansley,30336,Herefordshire,United Kingdom,69.758,-24.222,Asia/Seoul
1306 Daugherty Center,Bahringertown,90539,West Yorkshire,Central African Republic,-59.637,77.699,Asia/Seoul
1347 Harber Village,Lake Adell,44502-3901,Cornwall,Moldova,-59.122,-9.714,Asia/Seoul
168 Corwin Mission,New Merle,21453,Surrey,United Kingdom,-49.121,-1.262,Asia/Seoul
586 Hodkiewicz Oval,Bahringertown,99081-3846,Cumbria,Peru,-27.108,72.306,Asia/Seoul
161 Leffler Fields,Reichertland,74185-2729,Worcestershire,Liechtenstein,4.999,172.812,Asia/Seoul
1405 Chyna Plaza,Borerville,85415,Nottinghamshire,Saint Martin,-54.367,50.329,Asia/Seoul
52 Zulauf Branch,Cuyahoga Falls,23975-1988,Gloucestershire,Christmas Island,18.504,102.068,Asia/Seoul
353 Shakira Crossroad,New Garlandfort,98568,Northumberland,Monaco,-87.222,-162.492,Asia/Seoul
1167 Esteban Inlet,East Filibertofurt,15382-8525,Essex,Montenegro,33.796,-45.101,Asia/Seoul
975 Rosendo Spring,Langborough,26806-6438,Derbyshire,Gabon,83.897,165.308,Asia/Seoul
1218 Parker Ways,Port Amie,16159,Northamptonshire,"Virgin Islands, U.S.",-1.769,-19.618,Asia/Seoul
878 Stroman Turnpike,West Brendonville,55091-4684,Suffolk,Afghanistan,48.075,127.5,Asia/Seoul
819 Schimmel Fields,North Winnifred,89680-2428,Cambridgeshire,Tajikistan,-34.196,76.155,Asia/Seoul
177 Emard Hill,West Simone,53107-5271,Worcestershire,Congo,37.659,-34.1,Asia/Seoul
480 Beer Plaza,North Winnifred,10347,West Yorkshire,Congo,49.153,-178.021,Asia/Seoul
1386 Quitzon Green,Lake Brianne,96243-9985,Durham,France,30.914,55.884,Asia/Seoul
211 Aracely Row,Shoreline,55966-8820,Isle of Wight,Congo,-78.816,137.093,Asia/Seoul
1487 Quitzon Green,Bahringertown,21020-3587,Buckinghamshire,Romania,-68.333,-151.73,Asia/Seoul
61 Carmelo Plaza,Kuvalismouth,76731-6632,North Yorkshire,Wallis and Futuna,81.759,82.116,Asia/Seoul
72 Joshuah Fork,Lawrence,53683,West Yorkshire,Bolivia,4.437,-1.313,Asia/Seoul
1385 Lockman Greens,Bernierfurt,62499,Buckinghamshire,Pitcairn Islands,-67.525,-89.997,Asia/Seoul
915 Max Wall,West Everardo,32352-5627,South Yorkshire,United States of America,-7.922,-56.843,Asia/Seoul
846 Myriam Spur,Opalbury,19555,South Yorkshire,Russian Federation,47.733,-85.359,Asia/Seoul
1055 Shakira Crossroad,Lake Adell,10209,Oxfordshire,Antigua and Barbuda,56.145,-3.906,Asia/Seoul
590 Tremblay Springs,Tabithaville,84783,Berkshire,Paraguay,39.236,-52.064,Asia/Seoul
776 Benny River,North Kaleighshire,89138-3290,Herefordshire,Indonesia,-5.913,-5.46,Asia/Seoul
675 Fisher Light,West Dellside,37150,Cheshire,Syrian Arab Republic,-3.554,-8.027,Asia/Seoul
823 Howell Plaza,New Philip,55980,West Midlands,Moldova,46.151,-93.097,Asia/Seoul
486 Cole Center,North Nona,28756-6803,Worcestershire,"Virgin Islands, U.S.",55.896,-90.418,Asia/Seoul
1294 Goyette Circle,Frisco,22539,Rutland,Puerto Rico,-31.848,139.33,Asia/Seoul
723 Hauck Stream,Lake Cesar,47855,Hampshire,British Indian Ocean Territory (Chagos Archipelago),17.259,63.608,Asia/Seoul
75 Dorian Gateway,East Khalilton,77179-7755,Northamptonshire,Wallis and Futuna,-74.982,-72.347,Asia/Seoul
1489 Dante Summit,Padbergmouth,34951,South Yorkshire,Trinidad and Tobago,-88.03,-82.525,Asia/Seoul
487 Gutkowski Ferry,Kissimmee,93780-4883,Cornwall,Hungary,71.585,142.864,Asia/Seoul
597 Forest Path,North Frankie,77650-8453,Kent,Angola,23.595,55.73,Asia/Seoul
193 Lockman Greens,Lake Cesar,94765,Greater London,Indonesia,-10.173,125.529,Asia/Seoul
608 Jade Shore,South Darienbury,82858-8475,Somerset,Syrian Arab Republic,-43.792,-169.197,Asia/Seoul
937 Carter Pike,West Dorris,51362,East Riding of Yorkshire,Peru,-58.294,-60.32,Asia/Seoul
439 Dianna Inlet,Elisabethland,80385,South Yorkshire,Benin,-0.206,-78.76,Asia/Seoul
1305 Fay Corners,Marionton,68905-7819,North Yorkshire,Romania,63.36,117.325,Asia/Seoul
1103 King Drives,Jaquelinview,87501,Derbyshire,Trinidad and Tobago,-4.937,142.247,Asia/Seoul
1432 Dave Stravenue,Port Hardymouth,25059,Derbyshire,Anguilla,88.198,120.332,Asia/Seoul
803 Shakira Crossroad,Tabithaville,65866-1913,Shropshire,Christmas Island,43.352,-31.75,Asia/Seoul
676 Cade Forks,Grand Rapids,14483,Somerset,United Kingdom,2.427,-148.995,Asia/Seoul
643 Buckridge Drives,Lake Anthony,46365-3480,Cambridgeshire,Saint Kitts and Nevis,-87.771,-59.016,Asia/Seoul
215 Hauck Stream,East Vicentaborough,80857-1480,Tyne and Wear,Canada,36.423,-16.377,Asia/Seoul
782 Jade Shore,North Sigmund,76095-3874,Gloucestershire,Bolivia,29.963,65.001,Asia/Seoul
179 Bechtelar Fields,West Dellside,48350,Lincolnshire,Switzerland,24.176,86.715,Asia/Seoul
610 Missouri Extension,West Simone,64592,Leicestershire,Ethiopia,19.751,-51.013,Asia/Seoul
1062 Lockman Greens,Reichertland,70830-3842,Hampshire,Belarus,-56.768,-2.069,Asia/Seoul
273 Collins Lane,Lake Zackton,19228,Buckinghamshire,Trinidad and Tobago,-29.655,-113.811,Asia/Seoul
1427 Harber Village,South Darienbury,23817,Kent,Trinidad and Tobago,-19.342,166.238,Asia/Seoul
557 Natalia Points,Frisco,20442,Cornwall,Chile,-42.542,-78.412,Asia/Seoul
885 Dave Stravenue,Shoreline,32353,West Midlands,Belize,-25.517,58.156,Asia/Seoul
326 Schimmel Fields,New Kyle,47836,Gloucestershire,Puerto Rico,-73.509,76.762,Asia/Seoul
30 Fisher Light,Lake Zackton,15069-1413,East Sussex,Pitcairn Islands,21.441,56.297,Asia/Seoul
525 Quigley Parkways,North Frankie,81987,Greater London,Belarus,-52.969,-109.549,Asia/Seoul
515 Price Spring,Fort Lauderdale,99232-7567,Bristol,Senegal,-70.512,-157.598,Asia/Seoul
698 Calista Via,Langborough,66040,Suffolk,Paraguay,-13.978,40.632,Asia/Shanghai
897 Dorian Gateway,South Stacey,32482,Warwickshire,Tajikistan,-24.171,86.099,Asia/Shanghai
1306 Durgan Parkways,Frisco,12848,Hampshire,Macao,-65.005,100.365,Asia/Shanghai
506 Laurianne Glens,Padbergmouth,95783-6188,Warwickshire,Congo,-31.662,121.275,Asia/Shanghai
576 Kreiger Mission,North Antonetta,65762-3734,Gloucestershire,Senegal,-12.929,28.917,Asia/Shanghai
438 King Springs,East Khalilton,47141-4865,Northamptonshire,Nigeria,-19.791,-112.441,Asia/Shanghai
545 Viviane Junctions,Murray,40672-3381,Shropshire,Tunisia,-52.821,-147.464,Asia/Shanghai
995 Eugenia Heights,Franeckiview,71423-6722,Suffolk,Greece,62.15,132.083,Asia/Shanghai
860 Schumm Land,Willbury,76815,City of London,Namibia,71.974,30.39,Asia/Shanghai
493 Stokes Wells,New Kyle,91159,Northamptonshire,Trinidad and Tobago,-74.236,-160.089,Asia/Shanghai
332 Torphy Fords,Kettering,71580,Kent,Sri Lanka,-53.205,-102.128,Asia/Shanghai
604 Schimmel Fields,Funkville,78157,Cambridgeshire,Uruguay,-80.644,88.901,Asia/Shanghai
1407 Daugherty Center,Lake Adell,55592,Dorset,Benin,16.27,-145.522,Asia/Shanghai
1009 Forest Path,West Dorris,16761-2305,Durham,Wallis and Futuna,-39.542,133.387,Asia/Shanghai
1224 Stokes Wells,Denesikburgh,76080,Bristol,Christmas Island,87.506,173.307,Asia/Shanghai
1093 Schumm Land,Lake Anthony,33281,Tyne and Wear,Isle of Man,-13.942,5.656,Asia/Shanghai
314 Aracely Row,South Laila,29392,Leicestershire,Congo,9.768,-23.986,Asia/Shanghai
698 Brisa Hill,South Darienbury,50944-9145,Worcestershire,Monaco,-32.32,-151.182,Asia/Shanghai
522 Cronin Shoal,Tryciastad,70106,Cumbria,Gabon,42.06,38.903,Asia/Shanghai
359 Emerald Key,Haneborough,53797,Worcestershire,Macao,55.735,45.438,Asia/Shanghai
321 Caesar Place,East Providence,57805-7583,Leicestershire,Saint Kitts and Nevis,84.064,75.235,Asia/Shanghai
323 Daugherty Center,Jaquelinview,36558-7252,North Yorkshire,Qatar,59.849,-83.145,Asia/Shanghai
1202 Howell Vista,Franeckiview,99060-1482,Cumbria,Brazil,-65.184,141.653,Asia/Shanghai
155 Sammy Creek,Port Salvador,78410-6605,East Sussex,Montenegro,-42.275,160.136,Asia/Shanghai
914 Dameon Mountain,East Vicentaborough,63251-7961,Norfolk,Angola,83.017,133.748,Asia/Shanghai
514 Jocelyn Throughway,Erynside,44482-1476,Greater Manchester,Saint Martin,-15.784,-125.111,Asia/Shanghai
1079 Zboncak Harbor,Port Hardymouth,50521,Berkshire,Afghanistan,0.794,-113.025,Asia/Shanghai
